# Params: min_volt -0.6 max_volt 0.8 start_volt 0.0 scan_rate 0.05 direction up num_cycles 5
Stimulation voltage (V),Measured current(A)
0.10435897435897434,1.953073046874998e-06
0.1051648351648351,2.0507291992187575e-06
0.10597069597069586,2.587838037109378e-06
0.10677655677655662,-2.148485351562499e-06
0.1075824175824176,6.835430664062513e-07
0.10838827838827836,1.9042449707031252e-06
0.10919413919413912,2.441353808593746e-06
0.10999999999999988,2.978462646484374e-06
0.11080586080586063,-1.7578607421874963e-06
0.11161172161172161,3.905746093750011e-07
0.11241758241758237,1.8065888183593799e-06
0.11322344322344313,2.4901818847656257e-06
0.11402930402930389,2.8808064941406283e-06
0.11483516483516465,-1.318408056640628e-06
0.11564102564102563,1.4643422851562348e-07
0.11644688644688639,1.611276513671875e-06
0.11725274725274715,2.3436976562500006e-06
0.1180586080586079,3.124946875000006e-06
0.11886446886446889,-4.3950268554687707e-07
0.11967032967032964,7.32371142578124e-07
