# Params: min_volt -0.6 max_volt 0.8 start_volt 0.0 scan_rate 0.1 direction down num_cycles 5
Stimulation voltage (V),Measured current(A)
0.05681318681318692,1.7090326660156235e-06
0.05761904761904768,1.5137203613281258e-06
0.05842490842490844,1.7090326660156235e-06
0.05923076923076942,1.7578607421874963e-06
0.06003663003663018,1.660204589843751e-06
0.06084249084249094,1.8555168945312486e-06
0.061648351648351696,1.6113765136718712e-06
0.062454212454212454,1.953173046875001e-06
0.06326007326007344,1.8555168945312486e-06
0.0640659340659342,1.7578607421874963e-06
0.06487179487179495,1.806688818359376e-06
0.06567765567765571,1.660204589843751e-06
0.06648351648351647,1.806688818359376e-06
0.06728937728937745,1.8555168945312486e-06
0.06809523809523821,1.9043449707031214e-06
0.06890109890109897,2.148485351562499e-06
0.06970695970695973,1.6113765136718712e-06
0.0705128205128207,2.099657275390619e-06
0.07131868131868146,2.002001123046874e-06
0.07212454212454222,2.002001123046874e-06
0.07293040293040298,2.294969580078124e-06
0.07373626373626374,1.953173046875001e-06
0.07454212454212472,2.2461415039062442e-06
0.07534798534798548,2.148485351562499e-06
0.07615384615384624,2.099657275390619e-06
0.076959706959707,2.1973134277343786e-06
0.07776556776556776,1.3672361328124935e-06
0.07857142857142874,2.343797656249997e-06
0.0793772893772895,2.2461415039062442e-06
0.08018315018315025,2.148485351562499e-06
0.08098901098901101,2.3926257324218765e-06
0.08179487179487199,2.343797656249997e-06
0.08260073260073275,2.3926257324218765e-06
0.08340659340659351,2.3926257324218765e-06
0.08421245421245427,2.1973134277343786e-06
0.08501831501831503,2.5879380371093745e-06
0.08582417582417601,2.3926257324218765e-06
0.08663003663003677,2.3926257324218765e-06
0.08743589743589752,2.5879380371093745e-06
0.08824175824175828,2.490281884765622e-06
0.08904761904761904,2.7832503417968724e-06
0.08985347985348002,2.490281884765622e-06
0.09065934065934078,2.6367661132812472e-06
0.09146520146520154,2.6367661132812472e-06
0.0922710622710623,2.5391099609375017e-06
0.09307692307692306,2.8320784179687447e-06
0.09388278388278404,2.5879380371093745e-06
0.0946886446886448,2.7832503417968724e-06
0.09549450549450555,2.7344222656249996e-06
0.09630036630036631,2.5879380371093745e-06
0.0971062271062273,2.9785626464843703e-06
0.09791208791208805,2.685594189453127e-06
0.09871794871794881,2.6367661132812472e-06
0.09952380952380957,2.8809064941406247e-06
0.10032967032967033,2.8320784179687447e-06
0.10113553113553131,3.173874951171875e-06
0.10194139194139207,2.7344222656249996e-06
